learning_mode,model,file_name,file_path,UCE,OGE,UGE,NNE,DTE,MGE,total_hallucinations
zeroshot,llama,202103,zeroshot/llama/202103.txt,0,2,5,0,6,16,29
zeroshot,qwen,202103,zeroshot/qwen/202103.txt,0,2,1,0,5,9,17
fewshot,chatgpt,202106,fewshot/chatgpt/202106.txt,0,0,0,0,1,2,3
fewshot,llama,202106,fewshot/llama/202106.txt,0,0,4,0,2,6,12
fewshot,qwen,202106,fewshot/qwen/202106.txt,0,0,1,0,2,4,7
oneshot,chatgpt,202106,oneshot/chatgpt/202106.txt,0,1,4,0,3,9,17
oneshot,llama,202106,oneshot/llama/202106.txt,0,2,4,0,5,27,38
oneshot,qwen,202106,oneshot/qwen/202106.txt,0,1,4,0,4,21,30
zeroshot,chatgpt,202106,zeroshot/chatgpt/202106.txt,0,1,4,0,3,13,21
zeroshot,llama,202106,zeroshot/llama/202106.txt,0,2,4,0,5,32,43
zeroshot,qwen,202106,zeroshot/qwen/202106.txt,0,1,4,0,4,23,32
fewshot,chatgpt,202108,fewshot/chatgpt/202108.txt,0,0,2,0,0,2,4
fewshot,llama,202108,fewshot/llama/202108.txt,0,0,2,0,1,6,9
fewshot,qwen,202108,fewshot/qwen/202108.txt,0,0,2,0,1,4,7
oneshot,chatgpt,202108,oneshot/chatgpt/202108.txt,0,1,2,0,2,6,11
oneshot,llama,202108,oneshot/llama/202108.txt,0,1,4,0,2,16,23
oneshot,qwen,202108,oneshot/qwen/202108.txt,0,1,4,0,2,10,17
zeroshot,chatgpt,202108,zeroshot/chatgpt/202108.txt,0,1,3,0,2,6,12
zeroshot,llama,202108,zeroshot/llama/202108.txt,0,1,4,1,2,18,26
zeroshot,qwen,202108,zeroshot/qwen/202108.txt,0,1,4,0,2,11,18
fewshot,chatgpt,202112,fewshot/chatgpt/202112.txt,0,0,2,0,0,2,4
fewshot,llama,202112,fewshot/llama/202112.txt,0,0,2,2,2,8,14
fewshot,qwen,202112,fewshot/qwen/202112.txt,0,0,2,1,1,4,8
oneshot,chatgpt,202112,oneshot/chatgpt/202112.txt,0,0,2,2,2,10,16
oneshot,llama,202112,oneshot/llama/202112.txt,0,0,3,2,4,20,29
oneshot,qwen,202112,oneshot/qwen/202112.txt,0,0,2,2,3,14,21
zeroshot,chatgpt,202112,zeroshot/chatgpt/202112.txt,0,0,2,2,2,12,18
zeroshot,llama,202112,zeroshot/llama/202112.txt,0,0,4,2,5,23,34
zeroshot,qwen,202112,zeroshot/qwen/202112.txt,0,0,2,2,3,15,22
fewshot,chatgpt,202201,fewshot/chatgpt/202201.txt,0,0,0,0,0,1,1
fewshot,llama,202201,fewshot/llama/202201.txt,0,0,1,0,0,5,6
fewshot,qwen,202201,fewshot/qwen/202201.txt,0,0,1,0,0,2,3
oneshot,chatgpt,202201,oneshot/chatgpt/202201.txt,0,0,2,0,0,6,8
oneshot,llama,202201,oneshot/llama/202201.txt,0,0,3,1,3,12,19
oneshot,qwen,202201,oneshot/qwen/202201.txt,0,0,2,1,1,10,14
zeroshot,chatgpt,202201,zeroshot/chatgpt/202201.txt,0,0,2,0,0,7,9
zeroshot,llama,202201,zeroshot/llama/202201.txt,0,0,3,2,3,14,22
zeroshot,qwen,202201,zeroshot/qwen/202201.txt,0,0,3,1,2,10,16
